"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1980","39.31"
"ALB","","ALL","1981","35.01"
"ALB","","ALL","1982","35.15"
"ALB","","ALL","1983","31.36"
"ALB","","ALL","1984","33.61"
"ALB","","ALL","1985","30.97"
"ALB","","ALL","1986","32.8"
"ALB","","ALL","1987","29.75"
"ALB","","ALL","1988","24.19"
"ALB","","ALL","1989","21.84"
"ALB","","ALL","1990","19.87"
"ALB","","ALL","1991","19.26"
"ALB","","ALL","1994","22.08"
"ALB","","ALL","1995","19.73"
"ALB","","ALL","1996","22.48"
"ALB","","ALL","1997","19.7"
"ALB","","ALL","1998","20.69"
"ALB","","ALL","1999","21.73"
"ALB","","ALL","2000","19.4"
"ALB","","ALL","2001","18.08"
"ALB","","ALL","2002","19.26"
"ALB","","ALL","2003","17.89"
"ALB","","ALL","2004","17.49"
"ALB","","ALL","2005","16.8"
"ALB","","ALL","2006","15.67"
"ALB","","ALL","2007","14.75"
"ALB","","ALL","2008","14.49"
"ALB","","ALL","2009","15.2"
"ALB","","ALL","2010","14.8"
"ALB","","ALL","2011","14.53"
"ALB","","ALL","2012","14.07"
"ALB","","ALL","2013","16.36"
"ALB","","ALL","2014","14.12"
"ALB","","ALL","2015","14.36"
"ALB","","ALL","2016","14.29"
"ALB","","ALL","2017","17.52"
"ALB","","ALL","2018","15.37"
"ALB","","ALL","2019","14.39"
"ALB","","ALL","2020","8.38"
"AND","","ALL","1991","42.27"
"AND","","ALL","1992","34.81"
"AND","","ALL","1993","23.65"
"AND","","ALL","1994","37.05"
"AND","","ALL","1996","26.49"
"AND","","ALL","1997","29.28"
"AND","","ALL","1998","12.2"
"AND","","ALL","1999","15.17"
"AND","","ALL","2000","18.21"
"AND","","ALL","2001","15.13"
"AND","","ALL","2002","7.49"
"AND","","ALL","2003","15.77"
"AND","","ALL","2004","9.38"
"AND","","ALL","2005","12.87"
"AND","","ALL","2006","15.02"
"AND","","ALL","2007","6.08"
"AND","","ALL","2008","4.77"
"AND","","ALL","2009","9.49"
"AND","","ALL","2010","8.28"
"AND","","ALL","2011","3.68"
"AND","","ALL","2012","11.66"
"AND","","ALL","2013","6.56"
"AND","","ALL","2014","8.24"
"AND","","ALL","2015","5.68"
"AND","","ALL","2016","5.78"
"AND","","ALL","2017","1.26"
"AND","","ALL","2018","2.49"
"AND","","ALL","2019","6.17"
"AND","","ALL","2020","2.47"
"ARM","","ALL","1980","24.36"
"ARM","","ALL","1981","29.8"
"ARM","","ALL","1982","24.23"
"ARM","","ALL","1983","22.06"
"ARM","","ALL","1984","24.2"
"ARM","","ALL","1985","23.77"
"ARM","","ALL","1986","25.47"
"ARM","","ALL","1987","23.2"
"ARM","","ALL","1988","19.67"
"ARM","","ALL","1989","19.63"
"ARM","","ALL","1990","17.6"
"ARM","","ALL","1991","20.52"
"ARM","","ALL","1992","6.38"
"ARM","","ALL","1993","17.03"
"ARM","","ALL","1994","22.43"
"ARM","","ALL","1995","30.67"
"ARM","","ALL","1996","28.56"
"ARM","","ALL","1997","32.38"
"ARM","","ALL","1998","42.65"
"ARM","","ALL","1999","46.04"
"ARM","","ALL","2000","41.31"
"ARM","","ALL","2001","43.2"
"ARM","","ALL","2002","44.6"
"ARM","","ALL","2003","47.89"
"ARM","","ALL","2004","51.65"
"ARM","","ALL","2005","68.56"
"ARM","","ALL","2006","54.7"
"ARM","","ALL","2007","52.13"
"ARM","","ALL","2008","51.17"
"ARM","","ALL","2009","48.09"
"ARM","","ALL","2010","43.3"
"ARM","","ALL","2011","38.58"
"ARM","","ALL","2012","40.11"
"ARM","","ALL","2013","46.23"
"ARM","","ALL","2014","44.21"
"ARM","","ALL","2015","38.8"
"ARM","","ALL","2016","33.94"
"ARM","","ALL","2017","28.23"
"ARM","","ALL","2018","24.72"
"ARM","","ALL","2019","20.92"
"ARM","","ALL","2020","13.3"
"AUT","","ALL","1980","29.19"
"AUT","","ALL","1981","27.23"
"AUT","","ALL","1982","25.64"
"AUT","","ALL","1983","24.13"
"AUT","","ALL","1984","23.34"
"AUT","","ALL","1985","19.06"
"AUT","","ALL","1986","18.19"
"AUT","","ALL","1987","18.35"
"AUT","","ALL","1988","18.48"
"AUT","","ALL","1989","17.51"
"AUT","","ALL","1990","19.81"
"AUT","","ALL","1991","18.39"
"AUT","","ALL","1992","17.27"
"AUT","","ALL","1993","16.03"
"AUT","","ALL","1994","15.93"
"AUT","","ALL","1995","18.63"
"AUT","","ALL","1996","16.21"
"AUT","","ALL","1997","17.49"
"AUT","","ALL","1998","16.32"
"AUT","","ALL","1999","13.58"
"AUT","","ALL","2000","14.79"
"AUT","","ALL","2001","12.6"
"AUT","","ALL","2002","12.92"
"AUT","","ALL","2003","11.65"
"AUT","","ALL","2004","10.96"
"AUT","","ALL","2005","11.28"
"AUT","","ALL","2006","10.34"
"AUT","","ALL","2007","9.78"
"AUT","","ALL","2009","7.95"
"AUT","","ALL","2010","7.92"
"AUT","","ALL","2011","8.02"
"AUT","","ALL","2012","7.36"
"AUT","","ALL","2013","7.36"
"AUT","","ALL","2014","6.62"
"AUT","","ALL","2015","6.6"
"AUT","","ALL","2016","7.22"
"AUT","","ALL","2017","6.43"
"AUT","","ALL","2018","5.34"
"AUT","","ALL","2019","5.25"
"AUT","","ALL","2020","4.3"
"AZE","","ALL","1980","50"
"AZE","","ALL","1981","50.86"
"AZE","","ALL","1982","50.66"
"AZE","","ALL","1983","49.21"
"AZE","","ALL","1984","53.48"
"AZE","","ALL","1985","56.65"
"AZE","","ALL","1986","56.29"
"AZE","","ALL","1987","53.59"
"AZE","","ALL","1988","47.96"
"AZE","","ALL","1989","42.9"
"AZE","","ALL","1990","37.32"
"AZE","","ALL","1991","38.62"
"AZE","","ALL","1992","38.83"
"AZE","","ALL","1993","41.4"
"AZE","","ALL","1994","38.41"
"AZE","","ALL","1995","21.9"
